ano_calendario,conteudo_codigo,conteudo_descricao,valor_total,total,acum,gera_credito
2024,10.01.00002,SECR.FAZENDA S/ATOS NOTARIAIS,8973611.28,0.040617089563690166,62.493144668350794,N
2024,10.01.00018,TOTAL DE DESPESAS DEDUTÍVEIS,8969470.34,0.04059834650411139,62.533743014854906,N
2024,10.01.00015,TOTAL DESPESAS DEDUTÍVEIS,8962153.44,0.04056522815595083,62.574308243010854,N
2024,10.01.00015,Insumos,8890577.71,0.04024125626266458,62.61454949927352,S
2023,10.01.00018,TOTAL DE DESPESAS DEDUTÍVEIS,8778017.78,0.03973177834842928,62.654281277621955,N
2023,10.01.00006,DESPESAS DEDUTÍVEIS,8771793.06,0.03970360351425607,62.69398488113621,N
2024,10.01.00015,Despesas Diversas,8714417.72,0.0394439065816821,62.73342878771789,N
2024,10.01.00015,Despesas Dedutíveis do Livro Caixa,8670897.65,0.039246922499593793,62.772675710217484,N
2023,10.01.00022,DROGAS E MEDICAMENTOS,8636925.04,0.03909315290784005,62.81176886312532,N
2023,10.01.00016,Material Odontológico,8559403.61,0.03874226910340861,62.85051113222873,S
2024,10.01.00006,DESPESAS DEDUTIVEIS DO MÊS,8557148.08,0.038732059939988774,62.88924319216872,N
2024,10.01.00001,Despesas dedutiveis livro caixa próprio,8377973.8,0.03792106673433371,62.927164258903055,N
2023,10.02.00001,Todas as depesas,8327261.5,0.037691528595583314,62.964855787498635,N
2024,10.01.00015,Total de Despesas Dedutíveis,8252565.11,0.03735343171707507,63.00220921921571,N
2024,10.01.00015,Despesas diversas,8140435.29,0.03684590060172009,63.03905511981743,N
2023,10.01.00016,Serviços Prestados,8032199.35,0.03635599428286847,63.0754111141003,N
2024,10.01.00015,CUSTO DOS SERVIÇOS PRESTADOS,8029160.72,0.03634224058850731,63.11175335468881,N
2023,10.01.00015,Despesas Diversas,7983421.4,0.0361352115564873,63.14788856624529,N
2023,10.01.00006,DESPESAS DEDUTIVEIS DO MÊS,7958529.88,0.03602254553322533,63.18391111177852,N
2023,10.01.00015,Material de Consultório,7942160.22,0.03594845184612423,63.219859563624645,S
2024,10.01.00015,TOTAL DE DESPESAS DO MÊS,7926848.45,0.03587914646682229,63.25573871009147,N
2024,10.02.00001,Todas as depesas,7922966.73,0.035861576709900395,63.29160028680137,N
2024,10.01.00001,Folha mensal de salários,7838495.35,0.03547923547625733,63.32707952227763,N
2023,10.01.00016,Serviços de Terceiros,7752463.02,0.03508982894370882,63.36216935122134,S
2023,10.01.00003,Custo Direto Realiz. Leilao,7746695.68,0.0350637243401089,63.39723307556145,S
2024,10.01.00017,Valor Excedente ao Teto Recolhido,7728219.34,0.03498009522656998,63.432213170788025,N
2023,10.01.00016,4017 - Outros Despesas,7717234.86,0.034930376379380235,63.4671435471674,N
2023,10.01.00015,Material de Uso e Consumo,7700915.48,0.034856510273706454,63.50200005744111,S
2024,10.01.00016,Outras Despesas em geral,7652944.28,0.03463937912482102,63.53663943656593,N
2024,10.01.00013,"Remuneração paga a terceiros, com vínculo empregatício, INSS e FGTS e IRFONTE e Pis s/Salários e Férias ",7540276.65,0.03412941373008211,63.57076885029601,N
2024,10.01.00015,Despesas Gerais,7520001.98,0.03403764486896601,63.60480649516498,N
2023,10.01.00015,Fornecedor Plataforma,7496301.26,0.03393036874156014,63.63873686390654,N
2024,10.01.00016,SECRETARIA DA FAZENDA - SP - RECOLHIMENTO RELATIVO AOS ATOS PRATICADOS,7489917.76,0.0339014752244309,63.67263833913097,N
2023,10.01.00020,Fundo Estaduais ,7485754.25,0.03388263000668159,63.70652096913765,N
2024,10.01.00015,Despesas Mensais,7459842.47,0.03376534599958844,63.74028631513724,N
2023,10.01.00021,4022 - Serviços prestados por terceiros,7458804.63,0.03376064844373078,63.77404696358097,S
2023,10.01.00015,Despesas Gerais,7376848.34,0.033389691215100104,63.80743665479607,N
2024,10.01.00015,Remuneração terceiros PJ,7363602.53,0.03332973695205856,63.840766391748126,S
2023,10.01.00001,FOLHA MENSAL DE SALÁRIOS,7221485.27,0.032686474245679525,63.873452865993805,N
2024,10.01.00001,FOLHA MENSAL DE SALÁRIOS,7130161.26,0.03227311608052784,63.90572598207433,N
2023,10.01.00015,TOTAL DE DESPESAS DO MÊS,7084770.13,0.03206766305441825,63.93779364512875,N
2024,10.01.00026,"4027 - Serviços Contábil, Fiscal e Trabalhista",7077600.22,0.03203521002435635,63.969828855153104,N
2024,10.01.00021,Despesas diversas,7036742.56,0.03185027675905196,64.00167913191216,N
2024,10.01.00015,Despesas dedutíveis lançadas no livro caixa.,6996903.17,0.031669952470278796,64.03334908438244,N
2024,10.01.00059,Folha mensal de salários,6974638.65,0.0315691769881774,64.06491826137061,N
2023,10.01.00015,Despesas Mensais,6957535.38,0.031491762775800014,64.09641002414641,N
2023,10.01.00001,Folha mensal de salários,6947718.87,0.03144733048946269,64.12785735463586,N
2023,10.01.00016,Repasse ao Estado,6927240.91,0.031354641480606744,64.15921199611647,N
2024,10.01.00018,Fundos estaduais,6921506.81,0.031328687330599576,64.19054068344707,N
2023,10.01.00032,4033 - FERJ,6903754.63,0.031248335968977997,64.22178901941605,N
2023,10.01.00016,Despesas Gerais,6901143.65,0.03123651793884499,64.2530255373549,N
2024,10.01.00015,Material de Consultório,6875633.31,0.031121050962145253,64.28414658831704,S
2024,10.01.00016,Serviços de Terceiros,6819986.66,0.030869178566913836,64.31501576688396,S
2024,10.01.00041,Taxa judiciária e fundos estaduais e municipais,6747941.92,0.030543083802401953,64.34555885068636,N
2024,10.01.00016,Despesas Gerais,6725697.67,0.03044240006802393,64.37600125075438,N
2023,10.01.00015,Despesas dedutíveis lançadas no livro caixa.,6669872.67,0.030189720410510063,64.40619097116489,N
2024,10.01.00015,Fornecedor Plataforma,6653341.53,0.030114895819493247,64.43630586698438,N
2023,10.01.00015,TOTAL DESPESAS DEDUTÍVEIS,6601867.58,0.02988191023853693,64.46618777722293,N
2024,10.01.00025,"Lançamento Despesas Dedutíveis, Apuração Livro Caixa - Sistema Auxiliar",6554892.69,0.029669288669043847,64.49585706589197,N
2024,10.01.00069,ISSQN,6530540.92,0.02955906570615165,64.52541613159812,N
2023,10.01.00013,"Remuneração paga a terceiros, com vínculo empregatício, INSS e FGTS e IRFONTE e Pis s/Salários e Férias ",6525036.61,0.029534151650340637,64.55495028324846,N
2024,10.01.00016,Serviços Tomados,6519874.93,0.029510788434315618,64.58446107168278,N
2024,10.01.00057,I.N.S.S.,6508458.99,0.02945911667776571,64.61392018836055,N
2024,10.01.00015,Repasse Estadual,6496158.03,0.029403439071677185,64.64332362743222,N
2023,10.01.00015,TOTAL DE DESPESAS DEDUTÍVEL DO MÊS,6474457.79,0.02930521767962759,64.67262884511184,N
2023,10.01.00016,SECRETARIA DA FAZENDA - SP - RECOLHIMENTO RELATIVO AOS ATOS PRATICADOS,6445880.17,0.02917586733060544,64.70180471244245,N
2024,10.01.00001,Total das despesas dedutiveis lançadas em livro caixa próprio,6433759.31,0.029121004907791757,64.73092571735025,N
2024,10.01.00028,Outras despesas com manutenção - vinculadas a atividade,6385186.65,0.02890115138171316,64.75982686873196,S
2024,10.01.00015,Despesas dedutíveis no mês,6378672.73,0.02887166754696757,64.78869853627893,N
2024,10.01.00013,"Remuneração paga a terceiros, com vínculo empregatício, INSS, FGTS e IRRF",6370083.98,0.02883279244784581,64.81753132872677,N
2024,10.01.00015,Materiais Odontológicos,6352339.57,0.028752476255430485,64.8462838049822,S
2024,10.01.00015,Total de Despesas Pagas,6336289.77,0.02867983034468859,64.87496363532689,N
2024,10.01.00013,"Remuneração paga a terceiros, com vínculo empregatício",6320137.78,0.028606721893253435,64.90357035722015,N
2024,10.01.00001,Salários,6317022.64,0.028592621893104617,64.93216297911326,N
2023,10.01.00023,"Remuneração paga a terceiros com vinculo empregaticio, INSS, FGTS, ",6316771.19,0.028591483759653983,64.96075446287291,N
2024,10.01.00015,Livro Caixa - Despesas dedutíveis,6301516.38,0.028522436197338904,64.98927689907025,N
2024,10.01.00015,"Remuneração paga a terceiros , sem vinculo empregatício",6211741.7,0.028116090735703127,65.01739298980596,S
2024,10.01.00013,"Remuneração paga a terceiros, com vínculo empregatício, INSS/FGTS/IRRF",6201471.08,0.02806960301973259,65.04546259282569,N
2024,10.01.00015,Material Aplicado,6161693.55,0.027889558726725015,65.07335215155241,S
2024,10.01.00016,Taxa extra judicial - FUNAJURIS,6160357.73,0.02788351242954454,65.10123566398195,N
2024,10.01.00001,"Salários, Férias e Abonos",6156914.75,0.027867928533311184,65.12910359251526,N
2024,10.01.00015,Serviços de Terceiros,6151029.56,0.027841290507451724,65.15694488302272,S
2023,10.01.00016,Outras Despesas em geral,6123489.79,0.027716637759550057,65.18466152078227,N
2024,10.01.00015,Serviços Prestados,6052321.92,0.027394511955383616,65.21205603273765,N
