ref,fundam_legal,beneficio,item,descr_produto,oper,ncm
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,21,"Queijos tipo mozarela, minas, prato, queijo de coalho, ricota, requeijão, queijo provolone, queijo parmesão, queijo fresco não maturado e queijo do reino",INC,0406.90.20
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,21,"Queijos tipo mozarela, minas, prato, queijo de coalho, ricota, requeijão, queijo provolone, queijo parmesão, queijo fresco não maturado e queijo do reino",INC,0406.90.30
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,22,Sal em conformidade com os requisitos da legislação específica relativos ao teor de iodo enquadrado nos limites próprios para consumo humano,INC,2501.00.20
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,22,Sal em conformidade com os requisitos da legislação específica relativos ao teor de iodo enquadrado nos limites próprios para consumo humano,INC,2501.00.90
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,23,Mate,INC,09.03
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,24,"Farinha com baixo teor de proteína para pessoas com aminoacidopatias, acidemias e defeitos do ciclo da uréia ",INC,1901.90.90
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,25,"Massas com baixo teor de proteína para pessoas com aminoacidopatias, acidemias e defeitos do ciclo da uréia",INC,1902.19.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,26,Fórmulas infantis e Fórmulas Dietoterápicas para Erros Inatos do Metabolismo,INC,2106.90.90
Alíquota 0% - Cuidados básicos - art 147,GERAL,Alíquota 0%,I,Tampões higiênicos,INC,9619.00.00
Alíquota 0% - Cuidados básicos - art 147,GERAL,Alíquota 0%,II,Absorventes higiênicos ... e calcinhas absorventes,INC,9619.00.00
Alíquota 0% - Cuidados básicos - art 147,GERAL,Alíquota 0%,III,Coletores menstruais,INC,9619.00.00
