ncm,valor_produtos_servicos,tributos_nfe
03028924,12509.66,9.57
03028931,710556.2,111.02
03028932,3918298.709999999,9143.05
03028933,330139.05,4051.07
03028934,198527.4,0
03028935,112231,424.46
03028936,228,0
03028937,1048429.65,16.61
03028938,9612.26,0
03028941,718.31,69.58000000000001
03028942,38212.36,2312.26
03028943,59401.04,1003.4
03028944,7355551.42,30190.89
03028945,1113046.54,1190.3
03028990,2589043.68,15428.5
03029110,928.4,0
03029190,12265.85,29.48
03029200,22494.62,0
03029900,2718812.64,1143.91
03031100,17676.65,1084.9
03031200,1740,419.9299999999999
03031300,1714.84,237.92
03031900,90795.42,49.18
03032300,33644.14,3540.949999999999
03032490,686.66,9.16
03032900,11740.29,52.15
03033100,577,0
03033200,185223.5,0
03033300,1106.18,275.55
03033900,171042,253.92
03034100,209.55,0
03034200,10617.97,67.2
03034300,39292.6,2764.159999999999
03034400,98.59,0
03034500,141.4,0
03034600,1810.81,3.5
03034900,48734.46000000001,58.77
03035100,731.0799999999999,0
03035200,300,0
03035300,58465.06,2139.06
03035400,363207.54,21386.73
03035500,1049730,0
03035910,13.98,0
03035920,3,0.51
03035990,61068.21,524.2099999999999
03036000,184.56,45.45
03036219,1038,0
03036300,138125.83,16808.95
03036500,7923.679999999999,1330.12
03036600,30.99,0
03036800,206.39,0
03036990,81913.64,4233.759999999999
03037500,5.82,1.63
03037512,180,0
03037952,2586,310.3200000000001
03038111,986.1800000000001,20.58
03038112,1829.8,0
03038114,4821.15,394.96
03038119,347.69,12.66
03038190,2368.53,258.84
03038200,830724.5,0
03038312,5000,0
03038319,3457.7,5.03
03038329,71175.37000000001,0.4
03038400,152.8,0
03038910,58182.4,1761.07
03038920,139637.58,15.15
03038932,108.33,18.42
03038933,1398.04,157.27
03038943,13140.37,1564.96
03038945,10850.3,149.87
03038946,75.6,0
03038951,67462.23,15.99
03038952,286579.13,2862.43
03038953,122131.57,4360.53
03038954,358.18,18.5
03038955,3378.35,206.68
03038956,34197.37,193.21
03038961,17186.43,1332.73
03038962,5271.98,20.88
03038963,725794.26,33.29
03038964,879686.9700000001,26299.85
03038965,35349.46,266.85
03038990,1074441.37,20672.11
03039110,437.6,55.05
03039190,15289.72,0
03039910,25,25
03039920,431.16,100.72
03039990,97496.49,3350.77
03042090,3836.03,102.16
03042290,108,0
03042930,168.35,0
03043100,2529184.81,176988.8
03043210,1587,0
03043290,106915.29,1442.69
03043300,78.99,0
03043900,30049.89,1416.79
03044100,20350.28000000001,2235.91
03044200,57.98,0
03044300,24386.98,54.34
03044400,1500,162
03044500,2828.98,139.59
03044600,14408.61,1224.04
03044800,93.3,0
03044920,1086,206.34
03044990,19152.65,372.37
03045100,148994.78,2091.089999999999
03045200,2791.66,0
03045300,59275.07,1285.63
03045400,7862.61,0
03045600,1953.37,0
03045900,37635.62,5424.86
03046100,1668557.46,153852.06
03046210,345.96,7.28
03046290,141339.94,11600.04
03046900,566665.46,976.1100000000001
03047100,3565.519999999999,431.79
03047200,774.9,0
03047300,852.43,6.38
03047400,155721.99,10585.69
03047500,14875.62,2955.86
03047900,481.08,32.02
03048100,198021.41,20867.84
03048200,753.09,47.67
03048300,7766.219999999999,1169.17
03048510,378,0
03048600,293.7,38.91
03048700,145.27,0
03048810,269,18.83
03048890,40970.34,202.96
03048990,298054.9799999999,10561.81
03049000,75.6,0
03049100,839.51,93.5
03049212,279.55,0
03049219,1063.5,0
03049222,3832.35,501.6
03049229,45764.79999999999,11.28
03049300,112190.29,11934.9
03049400,3038.49,260.16
03049500,42133.72,986.9499999999999
03049600,299.91,21.59
03049700,54.58,0
