ref,fundam_legal,beneficio,item,codigo_ncm,descr_produto,proporcao
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02012020,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02012090,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02012090,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02013000,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02013000,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02021000,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02021000,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02022010,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02022010,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02022020,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02022020,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02022090,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02022090,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02023000,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02023000,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02031100,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02031100,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02031200,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02031200,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02031900,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02031900,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02032100,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02032100,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02032200,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02032200,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02032900,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02032900,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02041000,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02041000,"Carnes e miudezas, comestíveis",0.5
Alíquota 0% - Cesta Básica - Anexo I - Art 125,GERAL,Alíquota 0%,19,02042100,"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal ",0.5
