ref,fundam_legal,beneficio,item,codigo_ncm,descr_produto,proporcao
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03021200,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03021300,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03021400,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03021900,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03023100,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03023200,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03023300,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03023400,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03023500,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03023600,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03023900,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03025100,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03025200,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03025300,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03029000,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03029100,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03029110,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03029190,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03029200,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03029900,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03031000,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03031100,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03031200,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03031300,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03031400,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03031900,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03034100,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03034200,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03034300,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03034400,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03034500,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03034600,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03034900,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03036300,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03036400,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03036500,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03039000,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03039100,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03039110,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03039190,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
