soma_de_total_livro_caixa,rotulos_de_coluna,distribuicao_das_ocupacoes_0_e_null,0_3809258216463364,medio_das_despesas_do_livro_caixa_que_dao_direito_a_credito_de_cbs
Rótulos de Linha,2023,,Estimativa BC Crédito CBS,
420,43740574.91,420,17413865.396302488,15999211.336498015
511,2277619.36,511,915072.0073050077,1194176.3130564129
512,926074.13,512,364069.6317077093,138229.33117744906
513,4391543.46,513,1752255.4969829442,1776039.8708963185
514,3406355.84,514,1354144.3659811132,1159796.8117239084
515,23999850.32,515,9560476.87150545,9027388.801096207
516,22385363.47,516,8928176.457954135,8890930.209807243
517,1095125.76,517,436759.6341710353,434079.00299772515
518,60725757.79,518,24255391.11079702,25662287.883450333
519,83300260.43,519,33411402.294191644,41247794.936116554
529,223374893.25,529,89156831.79914595,91586245.05261397
610,81442939.01,610,32616255.080608908,38148397.38490191
620,12794318.08,620,5501942.694310986,22414751.376366463
630,148839.23,630,64581.05657341683,285761.48642255075
640,3250750.64,640,1301585.1917891966,1510732.2017993978
710,8555253.6,710,3396952.0447490434,2736659.79683198
720,1882697.86,720,742294.5661062314,374198.75231702975
730,108621.9,730,43527.64645458137,52041.76041328704
740,79420.1,740,31053.437639793196,4506.739585647718
750,248753.16,750,98871.6822113569,83987.1001615944
760,1364159.03,760,545019.0525779433,582552.6826775821
770,1849137.09,770,742427.1872853594,948025.8091670481
780,5794665.39,780,2284322.693470574,1136520.51731362
810,1159579.66,810,455973.36401053524,177651.39487346116
820,255370.63,820,101405.87444842582,82049.54087710749
830,34262.22,830,13722.024366786656,16078.876646201112
840,1830628.12,840,725044.1515955452,506282.73679512745
860,34119.04,860,16872.411593133507,155340.0523579658
870,136255.57,870,53987.76485867072,38637.36490483774
900,16749440.38,900,6652819.319659298,5456877.437323287
,278194305.65,,,
Total Geral,27643406390.380016,,10530087292.359089,11379884266.331253
,,,0,0
,,,,
,,,,
