ocupacao,percentual_corrigido_2023,percentual_corrigido_2024,valor_corrigido_2023,valor_corrigido_2024,ano,valor
324,0.00037803995675938904,0.00034512980307255,28505938.213532034,28426074.091016166,2023,21910886.8
325,1.9208044943401427e-05,1.6800487061863553e-05,1448374.2593057228,1383745.72619943,2023,1113282.58
328,3.379173272710632e-06,4.305073646763972e-06,254805.08819869807,354580.6283917736,2023,195854.12
341,3.1565545698475814e-05,2.5678621141953732e-05,2380186.2191246427,2114979.293697419,2023,1829513.22
342,0.0003171448368631176,0.0003546617230001831,23914168.231996544,29211155.70286287,2023,18381455.44
351,0.0017941001614166384,0.0016716941686122286,135283340.9162122,137686464.2561794,2023,103984578.46
352,0.00010580066312882359,0.00011373568856180507,7977852.901989725,9367661.329354938,2023,6132119.93
353,0.0001353442598419662,0.00012210865460385585,10205574.938912839,10057287.524931172,2023,7844442.64
354,0.01568983887296357,0.016477718623477057,1183085463.5761056,1357161410.7849555,2023,909370232.72
355,0.0010076322848911977,0.001130832854148118,75980073.37978359,93139271.68965013,2023,58401543.37
371,5.790869802318424e-05,4.3135625319516165e-05,4366580.141489175,3552798.0208568773,2023,3356340.79
372,0.0003838089787897403,0.0004141455732477509,28940948.80595565,34110449.58969312,2023,22245254.6
373,2.1010876621020264e-05,2.5721866379258256e-05,1584315.9963965192,2118541.1197372396,2023,1217773.23
374,0.00010299010985121649,8.30566642739951e-05,7765924.35675317,6840831.685315042,2023,5969222.56
375,0.00010228166697270611,8.045312197220421e-05,7712504.530193707,6626395.01334138,2023,5928161.79
376,0.00019268297967283348,0.00011705843918788497,14529176.12317081,9641334.465207139,2023,11167747.96
377,0.0002550858877471715,0.0002749864242206383,19234640.215274666,22648824.874959566,2023,14784569.49
391,0.004290769316895475,0.004132265078400621,323543590.69454026,340347522.1108116,2023,248689481.38
410,0.00690290125593036,0.007079846283476692,520510261.3555318,583120417.9281164,2023,400086512.83
420,0.0029143648203710446,0.0027592360509494517,219756409.38416517,227260143.05523264,2023,168914202.14
511,0.00042213717406190253,0.0004192363643189129,31831069.66944903,34529744.599519655,2023,24466725.46
512,0.0015782708000151953,0.0015671223941769322,119008821.9645252,129073574.31893483,2023,91475285.14
513,0.0013842461099039226,0.0013418073648087721,104378474.75037646,110515855.8558543,2023,80229772.74
514,0.000780093234495638,0.0008313684455116766,58822590.431837276,68474356.07895051,2023,45213566.05
515,0.0026240232018464394,0.0025794650450910103,197863326.15183637,212453586.54676926,2023,152086239.32
516,0.00777392510062035,0.0071497974957548316,586189434.8272638,588881839.6461848,2023,450570342.7
517,0.0004578751895930734,0.00048004840743104535,34525879.15820952,39538433.00527917,2023,26538071.62
518,0.016963801999606794,0.015893223351734247,1279148098.02806,1309020375.8685443,2023,983208093.92
519,0.024554790078085524,0.024966118346079296,1851543246.4131222,2056295120.1335223,2023,1423175556.39
529,0.04375095472121789,0.04005071621412222,3299021676.85374,3298714328.2482014,2023,2535769563.9
610,0.006265364656656201,0.006339634213190136,472437091.8854024,522154013.5037296,2023,363135412.8
620,0.0016298351928754518,0.0021899776744045826,122897012.53965086,180374071.07728046,2023,94463915.19
630,0.0002168033735887063,0.00022674292728114804,16347963.916254664,18675325.03170383,2023,12565746.27
640,0.0003702428350358206,0.0003840705038733872,27917999.647458997,31633363.743390825,2023,21458972.0
710,0.00182797706149424,0.0015986922036690218,137837813.80515274,131673772.08705617,2023,105948055.89
720,0.00037816764075520063,0.00038197872448024966,28515566.1695996,31461077.619497634,2023,21918287.26
730,0.00011582911532832056,0.0001255652175984077,8734043.970327426,10341981.906316547,2023,6713360.82
740,1.8017505374538286e-05,9.417560489897727e-06,1358602.1418774638,775662.5763964668,2023,1044279.88
750,0.00011319067697005333,0.00010025925765575034,8535093.675586894,8257696.26691307,2023,6560439.09
760,0.0009504266012710504,0.0011134226753708614,71666503.73302618,91705309.6630323,2023,55085948.72
770,0.00044621341069509826,0.0004110618179173039,33646527.80187357,33856460.92594557,2023,25862164.45
780,0.00044491480887029873,0.0003544216042277312,33548607.29712313,29191378.69735481,2023,25786898.55
810,0.0001941316215714091,0.0001912607341668928,14638410.334306361,15752889.932218835,2023,11251710.06
820,0.00010386211369817135,0.00010550438514888842,7831677.426868661,8689702.953699917,2023,6019763.19
830,2.862557444614512e-05,3.449942405603355e-05,2158498.967896224,2841490.869764282,2023,1659114.89
840,0.0003404142374078573,0.0003529196609201114,25668787.240739208,29067673.496115115,2023,19730130.87
860,6.934464816611185e-05,8.388701376446706e-05,5228902.978952655,6909222.116762746,2023,4019159.11
870,8.00689887191907e-05,9.128120151890312e-05,6037567.205368052,7518232.776170506,2023,4640733.12
900,0.005807587761410395,0.005204787474833086,437918624.5696181,428684144.5463266,2023,336603038.24
,-,-,-,-,2023,3389853511.49
Total Não Determinadas,-,-,-,-,2023,17445381885.199997
Total Determinadas,-,-,-,-,2023,57959182378.02999
Total Geral,-,-,75404564263.23,82363429173.45999,2023,75404564263.23
Percentual Não Determinadas,,,,,2023,0.23135710756579492
0,-,-,-,-,2024,15468314230.29
10,0.00016112086552725125,0.00015165268955906223,12149248.658796854,12490635.555462537,2024,9587995.37
20,0.00022012434365941184,0.00021259804854610972,16598380.217367442,17510304.313843317,2024,13441166.86
30,0.00010187381218542118,0.0001148152167645002,7681750.417675814,9456574.974018369,2024,7259005.89
40,0.0003833154488808221,0.0003061881425001601,28903734.398222804,25218705.388565216,2024,19358248.78
50,0.0002948227567902555,0.0003581394311792357,22230981.510653447,29497591.674154233,2024,22642784.76
101,0.00022347000541728896,0.00021036441940950929,16850658.38439232,17326334.95865115,2024,13299949.28
102,0.0006532918479255985,0.0007373546448418744,49261187.12955007,60731057.06615548,2024,46618051.69
103,0.00012761309470790016,0.00010428532296003129,9622609.800731514,8589296.81144994,2024,6593270.43
104,0.00041312178567025977,0.0004934091456900014,31151268.23611343,40638869.22457584,2024,31194993.1
105,0.00030227545940401316,0.00028674542633956785,22792949.30382728,23617336.61313259,2024,18129014.58
106,1.9883336388072256e-05,1.3988047191730252e-05,1499294.3164418137,1152103.5341510905,2024,884371.6
107,0.00010144759395758496,0.00016688987230886173,7649611.617924777,13745622.177678717,2024,10551341.54
108,7.149251352397771e-05,0.00013547268246873648,5390861.830358617,11157994.687452413,2024,8565040.66
109,0.0023453979287245508,0.0023865909398474716,176853708.8393569,196567813.84014854,2024,150888341.96
110,0.00038524092065977364,0.00036850759335425626,29048923.758715786,30351549.06511548,2024,23298295.0
111,0.0002505815905972007,0.00025150915222561636,18894995.651369005,20715156.24581152,2024,15901258.29
112,2.770991884469349e-05,1.7627611954009435e-05,2089454.3562535779,1451870.5686712929,2024,1114477.18
113,0.00027681398773633505,0.0003517800936923123,20873038.127225433,28973814.831459887,2024,22240725.96
114,3.741141077279808e-05,5.2883957440815285e-05,2820991.1277955472,4355704.083088863,2024,3343502.45
115,3.5760717197171216e-05,3.437009341579865e-05,2696521.2979932907,2830838.7547373357,2024,2172993.42
116,0.0007023237982292528,0.0007355437579043929,52958419.97717347,60581906.20813907,2024,46503561.3
117,0.3219776208123987,0.34087410425897896,24278582199.870415,28075560143.201035,2024,21551212463.76
118,0.00013684021469230354,0.00015451954537610806,10318376.762559991,12726759.631500315,2024,9769247.68
120,0.10551443124304931,0.10569984598935973,7956269711.364674,8705801778.79026,2024,6682701354.67
