exportacao_de_bens_e_servicos_1,consumo_do_governo,consumo_das_isflsf,consumo_das_familias,formacao_bruta_de_capital_fixo,variacao_de_estoque,demanda_final,demanda_total,consumo_intermediario_total,consumo_intermediario_adm_publica,demanda_total_export,compras_adm_publica_2021,compras_adm_publica_2020,compras_adm_publica_2019,compras_adm_publica_media_2021_2019,consumo_final_proxy_debitos_cbs_2021,consumo_final_proxy_debitos_cbs_2020,consumo_final_proxy_debitos_cbs_2019,consumo_final_proxy_debitos_cbs_media_2021_2019
0,921631,0,0,0,0,921631,921631,0,0,921631,0,0,0,0,1,1,1,1
0,11542,0,0,0,0,11542,11542,0,0,11542,0,0,0,0,1,1,1,1
0,388877,0,0,0,0,388877,388877,0,0,388877,0,0,0,0,1,1,1,1
36,0,0,136452,0,0,136488,158307,21819,1801,158271,0.011379216660032476,0.00978167358744911,0.009044460664529847,0.01006845030400381,0.8621415167655477,0.873535966617668,0.8896004569832757,0.8750926467888305
0,273993,0,0,0,0,273993,273993,0,0,273993,0,0,0,0,1,1,1,1
572,61105,10067,274870,0,0,346614,395274,48660,61192,394702,0.15503341761632827,0.16750374858285283,0.14449836791411388,0.15567851137109834,0.8767171182309692,0.8756659067913349,0.8776426550184038,0.876675226680236
2729,0,13015,35620,0,0,51364,57203,5839,1100,54474,0.02019311965341264,0.021321961620469083,0.01939596462234168,0.0203036819654078,0.8928112494033851,0.8754371002132196,0.8736719757368832,0.8806401084511627
0,0,52913,35709,0,0,88622,97965,9343,0,97965,0,0,0,0,0.9046292043076609,0.905531060374558,0.9162083226741707,0.9087895291187965
0,0,0,11880,0,0,11880,35422,23542,1640,35422,0.046298910281745806,0.04670006803983423,0.042811594202898554,0.04527019084149286,0.33538478911410985,0.34214758458588485,0.3547246376811594,0.34408567046038474
0,0,0,56374,0,0,56374,62144,5770,1757,62144,0.02827304325437693,0.028885958163900795,0.02195052421526084,0.02636984187784619,0.9071511328527292,0.9072242370956516,0.9122929270533084,0.9088894323338964
0,0,0,61371,0,0,61371,61371,0,0,61371,0,0,0,0,1,1,1,1
,,,,,,,,0,0,0,,0,0,0,,,,
1722169,1671535,115048,5415523,1614782,144558,10683615,19551489,8867874,581430.597281243,17829320,0.03261092387602236,0.035498707124990786,0.03546613130855626,0.0345252541031898,0.49855847650084295,0.5309662368278537,0.5379299928993658,0.5224849020760208
,,,,668139,,,,,,,,,,,,,,
,,,,0.09362811822276938,,,,,,,,,,,,,,
