exportacao_de_bens_e_servicos_1,consumo_do_governo,consumo_das_isflsf,consumo_das_familias,formacao_bruta_de_capital_fixo,variacao_de_estoque,demanda_final,demanda_total,consumo_intermediario_total,consumo_intermediario_adm_publica,demanda_total_export,compras_adm_publica_2021,compras_adm_publica_2020,compras_adm_publica_2019,compras_adm_publica_media_2021_2019,consumo_final_proxy_debitos_cbs_2021,consumo_final_proxy_debitos_cbs_2020,consumo_final_proxy_debitos_cbs_2019,consumo_final_proxy_debitos_cbs_media_2021_2019
13319,0,0,17042,0,-50,30311,44612,14301,132,31293,0.00421819576263062,0.005090909090909091,0.005792682926829268,0.005033929260122993,0.5437258718055068,0.5518774930081152,0.5752383250874864,0.5569472299670362
43656,0,0,63252,0,-35,106873,123803,16930,1276,80147,0.01592074562990505,0.016546128600948097,0.01633333333333333,0.016266735854728827,0.7888553540694919,0.80834312394147,0.7959613696224759,0.797719949211146
1721,0,0,12056,0,41,13818,15653,1835,283,13932,0.020312948607522252,0.021424126589030135,0.018837018837018837,0.020191364677857076,0.8679000791879634,0.8696801480306635,0.847350075967468,0.861643434395365
15,18,0,22370,0,25,22428,43208,20780,2392,43193,0.05537934387516496,0.04957120904178853,0.05014385532264694,0.051698136079866806,0.5186249073387694,0.5108921675413407,0.5359545959861916,0.5218238902887672
588,9,0,105020,0,-176,105441,122690,17249,880,122102,0.007207089154968796,0.0069612618668336386,0.006701731453528783,0.006956694158443739,0.8589361945730222,0.8608310658119264,0.8513779630112008,0.8570484077987164
49456,0,0,11834,0,981,62271,83821,21550,504,34365,0.014666084679179398,0.0190325138778747,0.015512022868673281,0.01640354047524246,0.3544811885933381,0.38151005236020624,0.42291384754172306,0.38630169616508914
15997,22,0,39656,0,-1679,53996,63043,9047,2024,47046,0.04302172341963185,0.046141162704111484,0.04063742864099997,0.043266771588247765,0.8143252950230888,0.7898523489932886,0.7881528558624623,0.7974434999596133
52165,0,0,43840,0,579,96584,194253,97669,632,142088,0.004447947750689713,0.005643317179600143,0.006572756565627762,0.00555467383197254,0.3098036167310913,0.3360967814588003,0.36302872520914997,0.33630970779968056
3076,5,0,25230,0,-727,27584,31989,4405,433,28913,0.014975962369868225,0.01670042763898267,0.01489960933951122,0.015525333116120704,0.8513832658569501,0.8467432950191571,0.8300070335853701,0.8427111981538258
1548,16,0,40671,0,1145,43380,47980,4600,1451,46432,0.03125,0.03236885928393006,0.03352320478102531,0.03238068802165179,0.8984255967496191,0.8937622362410268,0.8846682708834651,0.892285367958037
2001,15,0,44122,0,4120,50258,94958,44700,364,92957,0.003915789020730015,0.004279639210162789,0.004473861616718759,0.004223096615870521,0.4968312752569312,0.5053813822090539,0.5212936035446198,0.5078354203368683
2282,0,0,22500,0,2464,27246,92811,65565,212,90529,0.0023417910282892774,0.0025575069481402635,0.0031516499814608825,0.0026836493192968075,0.2554931016862545,0.27575579688875845,0.28781710547368045,0.2730220013495645
7496,45,0,228130,0,4578,240249,274261,34012,7144,266765,0.02678012482896932,0.026455508904850523,0.023050245692376674,0.02542862647539884,0.8702757955199915,0.8760474448247374,0.874122796859439,0.8734820124013893
4193,0,0,110046,0,1699,115938,189520,73582,568,185327,0.0030648529356219006,0.0029304781815325497,0.0026230169739463794,0.00287278269703361,0.5992876903304507,0.6116899555422536,0.5314852270981617,0.5808209576569553
7758,0,0,41410,0,-81,49087,51078,1991,0,43320,0,0,0,0,0.954125480979701,0.957290023659306,0.9618737342608084,0.9577630796332718
441,0,0,117,0,2178,2736,25836,23100,0,25395,0,0,0,0,0.005039410776586122,0.006010171058714748,0.006134969325153374,0.005728183720151415
1638,0,0,2240,0,4536,8414,49414,41000,4,47776,8.372404554588077e-05,0.00012687537666127447,6.080875646093037e-05,9.046939288936188e-05,0.05180388529139685,0.05222517702092211,0.04937067625636181,0.05113324618956026
1740,0,0,57378,0,2341,61459,83664,22205,242,81924,0.0029539573263024266,0.0035357608088828238,0.003423354887790034,0.003304357674325095,0.7209831245366473,0.7438983349625807,0.7467084217261003,0.7371966270751095
2435,40,0,163690,0,-1467,164698,180698,16000,3047,178263,0.01709272255038903,0.017131213354114796,0.01598347492584499,0.016735803610116274,0.9109775774773271,0.9110490161834905,0.9096587682618347,0.9105617873075508
