ncm,valor_antes_tratamento,valor_apos_tratamento,diferenca
12074010,4631285.970000001,4631285.970000001,0
12074090,327565926.75,327565926.7500001,5.960464477539062e-08
12075010,228.5,228.5,0
12075090,23831.25,23831.25,0
12076090,112393.75,112393.75,0
12079190,140000,140000,0
12079910,12154300.81,12154300.81,0
12079990,83693660.09,83693660.09,0
12081000,1768384348.41,1768384348.41,0
12089000,5057594.1,5057594.1,0
12091000,4969455.14,4969455.14,0
12092100,1807212,1807212,0
12092200,62640,62640,0
12092400,64729747.31999999,64729747.31999999,0
12092500,16864823.94,16864823.94,0
12092900,877032655.1800001,877032655.1800001,0
12093000,27132734.3,27132734.3,0
12094900,50000,0,-50000
12099100,7000555.27,7000555.27,0
12099900,27185122.97,27185122.97,0
12102010,9615,9615,0
12112000,97684.76000000001,97684.76000000001,0
12113000,12834,12834,0
12114000,364450,364450,0
12116000,8529.5,8529.5,0
12119010,61176.14999999999,61176.14999999999,0
12119090,7720626.52,7720626.52,0
12129100,4207086,4207086,0
12129200,344644652.8099999,344644652.8099999,0
12129300,3490912373.42,3490912373.42,0
12129900,0,0,0
12129990,248278675.26,248278675.26,0
12130000,42594045.70999999,42594045.70999999,0
12141000,912516.26,912516.26,0
12149000,422997434.86,422997434.86,0
13019010,350379.36,350379.36,0
13019090,13261149.58,13261149.58,0
13021190,25000,25000,0
13021910,204851.42,204851.42,0
13023220,9700,9700,0
14019000,4651.9,4651.9,0
14042010,1853354.79,1853354.79,0
14042090,33338923.45,33338923.45,0
14049010,83420235.42,83420235.42,0
14049090,29462029.46,29462029.46,0
15011000,96841.21999999999,96841.21999999999,0
15012000,3357362.419999999,3357362.419999999,0
15021011,153140,153140,0
15021090,123300,123300,0
15030000,1909746,1909746,0
15041019,436268.64,436268.64,0
15071000,7737394.43,7737394.43,0
15079011,39426.33,39426.33,0
15079019,82265,82265,0
15079090,750,750,0
15121110,62910,62910,0
15122100,6080934.239999999,6080934.239999999,0
15141910,4731010.760000001,4731010.760000001,0
15152910,76265,76265,0
15152990,73603.54000000001,73603.54000000001,0
15162000,262731.2,262731.2,0
15180090,40800,40800,0
15211000,25331578.53,25331578.53,0
15219011,10850,10850,0
15220000,120,120,0
16010000,261720.44,261720.44,0
16023220,67227.1,67227.1,0
16023290,400,400,0
16024900,189.6,189.6,0
16025000,52529095.23,52529095.23,0
16029000,68740,68740,0
16041500,2370410.75,2370410.75,0
16041900,43661.23,43661.23,0
16055400,22260,22260,0
17011200,875443.68,875443.68,0
17011400,251968.92,251968.92,-2.91038304567337e-11
17019900,21.09,21.09,0
17021900,2095,2095,0
17031000,835,835,0
18010000,44897203.29,44897203.28999999,-7.450580596923828e-09
18062000,760,760,0
18063110,2932,2932,0
18069000,24765.4,24765.4,0
19012000,2870338.39,2870338.39,0
19019020,6498.179999999998,6498.179999999998,0
19019090,25706.64,25706.64,0
19021100,190152,190152,0
19021900,248212,248212,0
19023000,1848074.02,1848074.02,0
19041000,1600759.24,1600759.24,0
