codigo,descricao,categoria,valor_rend_tna_2023,valor_rend_tna_2024,atividade_de_divulgacao_scn_2010,classe_cnae_2_0_4_digitos,consumo_final_contas_nacionais,consumo_intermediaro,2024_0_1,2024_0_2,2024_0_3,ano,valor
227,"ENFERMEIRO DE NÍVEL SUPERIOR, NUTRICIONISTA, FARMACÊUTICO E AFINS",Profissionais de saúde,336671324.04031336,388195424.7145888,8692,8650,0.8767171182309692,0.1232828817690308,19978654.04292452,47857850.648367345,19978654.04292452,2023,41505811.036685005
228,"VETERINÁRIO, PATOLOGISTA (VETERINÁRIO) E ZOOTECNISTA","LC 214/2025, art 127",290113272.4115939,291476506.1693688,7380,7490,0.01736158728243161,0.9826384127175684,24331896.653989416,286416011.3667311,24331896.653989416,2023,285076445.51082814
229,"FONOAUDIÓLOGO, FISIOTERAPEUTA, TERAPEUTA OCUPACIONAL E AFINS",Profissionais de saúde,2587104943.067198,0,8692,8650,0.8767171182309692,0.1232828817690308,3195317.0171573376,0.0,3195317.0171573376,2023,318945752.8202285
230,FONOAUDIÓLOGO,Profissionais de saúde,0,437660290.2325225,8692,8650,0.8767171182309692,0.1232828817690308,30278988.00828735,53956021.81573577,30278988.00828735,2023,0
231,FISIOTERAPEUTA,Profissionais de saúde,0,1783575702.0869236,8692,8650,0.8767171182309692,0.1232828817690308,83170350.38015756,219884352.40649828,83170350.38015756,2023,0
232,TERAPEUTA OCUPACIONAL,Profissionais de saúde,0,137504388.65056545,8692,8650,0.8767171182309692,0.1232828817690308,8379439.696188718,16951937.28873052,8379439.696188718,2023,0
241,ADVOGADO,"LC 214/2025, art 127",2528605433.226418,2868276088.485484,6980,6911,0.07745463951812571,0.9225453604818743,192045327.73245823,2646114798.0133815,192045327.73245823,2023,2332753210.9122915
250,SOCIÓLOGO E CIENTISTA POLÍTICO,,2691303.2961884495,1816827.2491093352,,,0.5,0.5,194795.71366710583,908413.6245546676,194795.71366710583,2023,1345651.6480942247
251,ANTROPÓLOGO E ARQUEÓLOGO,,906062.9023634853,751659.4923205446,,,0.5,0.5,165.83707873668598,375829.7461602723,165.83707873668598,2023,453031.45118174265
252,"ECONOMISTA, ADMINISTRADOR, CONTADOR, AUDITOR E AFINS","LC 214/2025, art 127",594791377.8687992,618638498.0004905,6980,6920,0.07745463951812571,0.9225453604818743,103551079.10212812,570722076.1458278,103551079.10212812,2023,548722026.1074821
253,"PROFISSIONAL DE MARKETING, DE PUBLICIDADE E DE COMERCIALIZAÇÃO","LC 214/2025, art 127",80842765.29665439,97709853.19969474,7380,7311,0.01736158728243161,0.9826384127175684,2971688.7392409244,96013455.05501465,2971688.7392409244,2023,79439206.57080339
254,PSICANALISTA,Profissionais de saúde,89644273.66496222,98227602.27866113,8692,8650,0.8767171182309692,0.1232828817690308,5125695.824254198,12109781.87817556,5125695.824254198,2023,11051604.391508179
255,PSICÓLOGO,Profissionais de saúde,3319864245.1356955,3903173741.432418,8692,8650,0.8767171182309692,0.1232828817690308,221298964.37466517,481194506.8889983,221298964.37466517,2023,409282431.2222966
256,GEÓGRAFO,,1098925.3635390948,1378033.9413113708,,,0.5,0.5,7134.861302125151,689016.9706556854,7134.861302125151,2023,549462.6817695474
257,HISTORIADOR,,1023135.5649558903,869843.7205488257,,,0.5,0.5,28121.289190689353,434921.86027441284,28121.289190689353,2023,511567.78247794515
258,ASSISTENTE SOCIAL E ECONOMISTA DOMÉSTICO,"LC 214/2025, art 127",10077474.398376808,12252606.57841851,8692,8800,0.8767171182309692,0.1232828817690308,366557.25086124055,1510536.648169618,366557.25086124055,2023,1242380.0847855227
259,FILÓSOFO,,881599.7996859183,1004552.3198258939,,,0.5,0.5,59743.95939366148,502276.1599129469,59743.95939366148,2023,440799.89984295913
261,JORNALISTA E REPÓRTER,"LC 214/2025, art 139",28957080.653556205,31392859.318679143,5800,5812,0.4295501470312207,0.5704498529687794,1878471.1213290982,17908051.98261009,1878471.1213290982,2023,16518562.401226223
263,SACERDOTE OU MEMBRO DE ORDENS OU SEITAS RELIGIOSAS,,116784334.745779,120027504.91901872,,,0.5,0.5,5275200.452157107,60013752.45950936,5275200.452157107,2023,58392167.3728895
264,"TRADUTOR, INTÉRPRETE, FILÓLOGO",,22618479.2848887,26490686.77407718,,,0.5,0.5,1369186.1922761577,13245343.38703859,1369186.1922761577,2023,11309239.64244435
265,"BIBLIOTECÁRIO, DOCUMENTALISTA, ARQUIVÓLOGO, MUSEÓLOGO","LC 214/2025, art 127",1922206.1435069751,2521461.6644523437,9080,9102,0.8928112494033851,0.10718875059661492,69103.70905373462,270272.3254899078,69103.70905373462,2023,206038.87491165014
