ncm,valor_antes_tratamento,valor_apos_tratamento,diferenca
02075400,9406.34,9406.34,0
02075500,295151.54,295151.54,0
02076000,9310.47,9310.47,0
02081000,714.5799999999999,714.5799999999999,0
02083000,344.14,344.14,0
02084000,788.15,788.15,0
02085000,1622.58,1622.58,0
02086000,1070.09,1070.09,0
02089000,40515.25,40515.25,0
02091011,108623.87,108623.87,0
02091019,26360.42,26360.42,0
02091021,180760.32,180760.32,0
02091029,1324318.63,1324318.63,0
02099000,8445.27,8445.27,0
02101000,6786.900000000001,0,-6786.900000000001
02101100,280301.06,280301.06,0
02101200,4060032.24,4060032.24,0
02101900,4324851.81,4324851.81,0
02102000,31601753.49,31601753.49,0
02109100,7874.309999999999,7874.309999999999,0
02109200,241.95,241.95,0
02109300,86.6,86.6,0
02109900,11008.73,11008.73,0
02109911,34762.95000000001,34762.95000000001,0
02109919,307203.75,307203.75,0
02109920,10579.3,10579.3,0
02109930,398.98,398.98,0
02109940,1572.26,1572.26,0
02109990,284824.08,284824.08,0
02120700,125,0,-125
02122000,837.1,0,-837.1
02145962,180,0,-180
02165444,180,0,-180
02169010,42,0,-42
02201100,2.5,0,-2.5
02203000,2011.9,0,-2011.9
02259265,201.85,0,-201.85
02309909,2880,0,-2880
02348987,69,0,-69
02365986,1525.15,0,-1525.15
02369875,63,0,-63
02410213,10,0,-10
02587744,42.5,0,-42.5
02636859,10,0,-10
02710193,3770,0,-3770
02804400,3300,0,-3300
02844852,15,0,-15
02896402,58.5,0,-58.5
02985023,40,0,-40
02985309,60,0,-60
03011000,37880.68,37880.68,0
03011110,2172.08,2172.08,0
03011190,2652832.47,2652832.47,0
03011900,94254.87000000001,94254.87000000001,0
03019110,2002796.76,2002796.76,0
03019190,106660.78,106660.78,0
03019210,90,90,0
03019290,32493.25,32493.25,0
03019310,123300,123300,0
03019390,41139.5,41139.5,0
03019410,211.94,211.94,0
03019490,2025.2,2025.2,0
03019510,725.25,725.25,0
03019590,732.6,732.6,0
03019911,18122479.63,18122479.63,0
03019912,358500,358500,0
03019919,5138598.840000001,5138598.840000001,0
03019990,874698.75,874698.75,0
03019991,9706294.43,9706294.43,0
03019992,4994,4994,0
03019999,6109791.24,6109791.24,0
03021100,207503.92,207503.92,0
03021300,122399.5,122399.5,0
03021400,63387.25999999999,63387.25999999999,0
03021900,757595.9100000001,757595.9100000001,0
03022200,41.08,41.08,0
03022300,2188.48,2188.48,0
03022400,34917.5,34917.5,0
03022900,406764.49,406764.49,0
03023100,7807.63,7807.63,0
03023200,10072.34,10072.34,0
03023300,20975.9,20975.9,0
03023400,898.97,898.97,0
03023500,78.4,78.4,0
03023600,284.67,284.67,0
03023900,101791.87,101791.87,0
03024000,27206.88,27206.88,0
03024100,18,18,0
03024210,83.45,83.45,0
03024290,69272.74,69272.74,0
03024300,63199.42,63199.42,0
03024400,5610,5610,0
03024500,2062.75,2062.75,0
03024600,14,14,0
03024700,349202.69,349202.69,0
03024910,22451.41,22451.41,0
03024990,1422685.98,1422685.98,0
03025100,3850.49,3850.49,0
03025200,614.79,614.79,0
03025300,56117.23999999998,56117.23999999998,0
03025400,1043.24,1043.24,0
03025500,114.22,114.22,0
03025600,426.21,426.21,0
03025900,14447.21,14447.21,0
03026942,2133379.18,2133379.18,0
03026943,10000,10000,0
03026945,8250,8250,0
03026953,5087.99,5087.99,0
03026954,13125.8,13125.8,0
03026990,62257.96,62257.96,0
03027100,3466289.43,3466289.43,0
03027290,15488.17,15488.17,0
03027300,3575.28,3575.28,0
03027400,1280,1280,0
03027900,4264.79,4264.79,0
03028100,20018.46,20018.46,0
03028200,143,143,0
03028400,435.87,435.87,0
03028910,478,478,0
03028922,1148.45,1148.45,0
03028923,2120,2120,0
03028924,335.18,335.18,0
03028931,57.65,57.65,0
03028932,214129.64,214129.64,0
03028933,865107.32,865107.32,0
03028934,5768.9,5768.9,0
03028935,550.63,550.63,0
03028937,1486271.64,1486271.64,0
03028938,3845.81,3845.81,0
03028941,4527.36,4527.36,0
03028942,15626.76,15626.76,0
03028943,217711.12,217711.12,0
03028944,5839563.310000001,5839563.310000001,0
03028945,38707.96,38707.96,0
03028990,1360940.46,1360940.46,0
03029100,4376.8,4376.8,0
03029110,402527.13,402527.13,0
03029190,62702.63,62702.63,0
03029200,528.88,528.88,0
03029900,2060666.08,2060666.08,0
03031035,716.8,0,-716.8
03031100,25953.94,25953.94,0
03031200,592.5999999999999,592.5999999999999,0
03031300,14112.19,14112.19,0
03031900,90172.21999999999,90172.21999999999,0
03032300,48568.66,48568.66,0
03032410,205.42,205.42,0
03032490,1255.95,1255.95,0
03032500,35,35,0
03032600,75,75,0
03032900,62534.75999999998,62534.75999999998,0
03033100,149,149,0
03033200,25859.14,25859.14,0
03033300,571.3,571.3,0
03033400,199.74,199.74,0
03033900,43541.14,43541.14,0
03034100,45.8,45.8,0
03034200,12909.3,12909.3,0
03034300,56649.58,56649.58,0
03034400,915.59,915.59,0
03034500,150,150,0
03034600,2661.34,2661.34,0
03034900,35135.83,35135.83,0
03035100,39852.10000000001,39852.10000000001,0
03035200,750,750,0
03035300,209453.68,209453.68,0
03035400,324038.44,324038.44,0
03035500,4580,4580,0
03035700,199,199,0
03035910,8.99,8.99,0
03035990,179506.83,179506.83,0
03036219,1730,1730,0
03036300,130407.55,130407.55,0
03036400,9200,9200,0
03036500,6677.659999999998,6677.659999999998,0
03036700,155.97,155.97,0
03036800,97.31,97.31,0
03036990,11081,11081,0
03037500,54.5,54.5,0
03037952,4080.73,4080.73,0
03037953,22400,22400,0
03037990,13100,13100,0
03038111,446.89,446.89,0
03038114,5219.57,5219.57,0
03038119,189147.5,189147.5,0
03038190,1754.92,1754.92,0
03038200,239.78,239.78,0
03038311,345,345,0
03038312,206,206,0
03038319,4177.6,4177.6,0
03038329,36258.11,36258.11,0
03038400,570,570,0
03038910,89271.76000000001,89271.76000000001,0
03038920,291244.92,291244.92,0
03038933,13601.78,13601.78,0
03038943,560.78,560.78,0
03038945,55467.7,55467.7,0
03038946,18.9,18.9,0
03038951,49379.73,49379.73,0
03038952,1028669.08,1028669.08,0
03038953,152955.24,152955.24,0
03038954,57.86,57.86,0
03038955,1062.19,1062.19,0
03038956,18301.43,18301.43,0
03038961,22111.85,22111.85,0
