contribuinte_pessoa_fisica,debitos_apurados,debitos_apurados_1,creditos_apurados,creditos_apurados_1,arrecadacao_estimada,arrecadacao_estimada_1,debitos_apurados_2,debitos_apurados_3,creditos_apurados_2,creditos_apurados_3,arrecadacao_estimada_2,arrecadacao_estimada_3
,Alíquota do Débito da PF,Produtos/Serviços Prestados pela PF com aproveitamento de créditos pelo adquirente,Alíquota da tomada de crédito no Módulo Central,Ajuste no módulo Central,Diferença entre as alíquotas,Produtos/Serviços Prestados pela PF com aproveitamento de créditos pelo adquirente,Alíquota do Débito da PF,Produtos/Serviços Prestados pela PF com aproveitamento de créditos pelo adquirente,Alíquota da tomada de crédito no Módulo Central,Ajuste no módulo Central,Diferença entre as alíquotas,Produtos/Serviços Prestados pela PF com aproveitamento de créditos pelo adquirente
10.3 - Produtor Rural contribuinte CBS - Art. 164 e 165.,,,,23.380016374205688,,,,,,23.380016374205688,,
Alíquota 0% - Cesta Básica - Anexo I - Art 125,0,17.11891703613767,0.085,1.4551079480717022,0.085,21.26395653339001,0,17.11891703613767,0.085,1.4551079480717022,0.085,21.26395653339001
Alíquota 0% - Medicamentos - art 146,0,0.005359071744218329,0.085,0.00045552109825855805,0.085,0.001399674045233526,0,0.005359071744218329,0.085,0.00045552109825855805,0.085,0.001399674045233526
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,0,26.27925708994495,0.085,2.233736852645321,0.085,30.15084417001117,0,26.27925708994495,0.085,2.233736852645321,0.085,30.15084417001117
"Alíquota 0% - Tratores, maq, caminhões, - Art 110",0,0.5437066992943458,0.085,0.04621506944001939,0.085,0.3841717721746237,0,0.5437066992943458,0.085,0.04621506944001939,0.085,0.3841717721746237
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art 135,0.034,62.10042715203793,0.085,3.1671217847539346,0.051000000000000004,49.346720006507766,0.034,62.10042715203793,0.085,3.1671217847539346,0.051000000000000004,49.346720006507766
Alíquota reduzida 60% - Anexo X - art 139,0.034,0,0.085,0,0.051000000000000004,7.432933008243031e-05,0.034,0,0.085,0,0.051000000000000004,7.432933008243031e-05
Alíquota reduzida 60%  -Dispositivos médicos - Anexo IV - Art 131,0.034,0.0005800658286327329,0.085,2.958335726026938e-05,0.051000000000000004,0.01552956097207704,0.034,0.0005800658286327329,0.085,2.958335726026938e-05,0.051000000000000004,0.01552956097207704
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,0.034,181.83787835511458,0.085,9.273731796110845,0.051000000000000004,165.8673528722959,0.034,181.83787835511458,0.085,9.273731796110845,0.051000000000000004,165.8673528722959
Alíquota reduzida 60%  -Medicamentos - Anexo VI - Art 133 § 1º,0.034,0.000178260842617022,0.085,9.091302973468121e-06,0.051000000000000004,0.001064071629070156,0.034,0.000178260842617022,0.085,9.091302973468121e-06,0.051000000000000004,0.001064071629070156
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,0.034,141.24722994951708,0.085,7.2036087274253715,0.051000000000000004,143.38008679057958,0.034,141.24722994951708,0.085,7.2036087274253715,0.051000000000000004,143.38008679057958
Alíquota de Referência - Demais Produtos,0.085,3.7601906946413997,0.085,0,0,3.5014450209269827,0.085,3.7601906946413997,0.085,0,0,3.5014450209269827
10.4 - BC dos Débitos Destinados a Consumo Intermediário,,,,0.22391256974494095,,,,,,0.22391256974494095,,
Alíq. Referência - Demais serviços e bens,0.085,7.684390408235763,0.085,0,0,8.280796540270485,0.085,7.684390408235763,0.085,0,0,8.280796540270485
Alíq. Referência - Titular de Cartório,0.085,22.39809336756827,0.085,0,0,25.90097775303994,0.085,22.39809336756827,0.085,0,0,25.90097775303994
Alíq. Reduzida em 30% - Profissionais Liberais - Art. 127 ,0.0595,3.6129727111023096,0.085,0.09213080413310892,0.02550000000000001,3.956088271251125,0.0595,3.6129727111023096,0.085,0.09213080413310892,0.02550000000000001,3.956088271251125
Alíq. reduzida em 60%  - Serviços de saúde - Art. 130 (Anexo III),0.034,2.400930806054087,0.085,0.12244747110875843,0.051000000000000004,2.509332673665748,0.034,2.400930806054087,0.085,0.12244747110875843,0.051000000000000004,2.509332673665748
"Alíq. reduzida em 60%  - Prof. artes, cultura, eventos, jornalistica e audio - Art. 139 (Anexo X)",0.034,0.11653676463858179,0.085,0.005943374996567672,0.051000000000000004,0.11855033991088007,0.034,0.11653676463858179,0.085,0.005943374996567672,0.051000000000000004,0.11855033991088007
Alíq. reduzida em 60%  - Prof. educação - Art. 129,0.034,0.06648861777462617,0.085,0.003390919506505935,0.051000000000000004,0.0698444468570947,0.034,0.06648861777462617,0.085,0.003390919506505935,0.051000000000000004,0.0698444468570947
