codigo_ncm,nome_ncm,codigo_produto,descricao_produto
51099000,"Outros fios de lã ou de pelos finos, acondicionados para venda a retalho",13001,Fios e fibras têxteis beneficiadas
51100000,"Fios de pelos grosseiros ou de crina (incluindo os fios de crina revestidos por enrolamento), mesmo acondicionados para venda a retalho",13001,Fios e fibras têxteis beneficiadas
51111110,"Tecidos de lã cardada, que contenham pelo menos 85 %, em peso, de lã, de peso não superior a 300 g/m2",13002,Tecidos
51111120,"Tecidos de pelos finos, que contenham pelo menos 85 %, em peso, de pelos finos, de peso não superior a 300 g/m2",13002,Tecidos
51111900,"Outros tecidos de lã/pelos finos, cardados que contenham pelo menos 85 %, em peso, de lã ou de pelos finos",13002,Tecidos
51112000,"Tecido de lã/pelos finos, cardados, combinados, principal ou unicamente, com filamentos sintéticos ou artificiais",13002,Tecidos
51113010,"Tecido de lã, cardada, feltrados, com trama combinada exclusivamente com fibras sintéticas e urdidura exclusivamente de algodão, de peso superior ou igual a 600 g/m2, próprios para fabricação de bolas de tênis",13002,Tecidos
51113090,"Outros tecidos de lã/pelos finos, cardados, com fibra sintética/artificial",13002,Tecidos
51119000,"Outros tecidos de lã ou de pelos finos, cardados",13002,Tecidos
51121100,"Tecidos de lã penteada ou de pelos finos penteados, que contenham pelo menos 85 %, em peso, de lã ou de pelos finos, de peso não superior a 200 g/m2",13002,Tecidos
51121910,"Outros tecidos de lã penteada, que contenham pelo menos 85 %, em peso, de lã",13002,Tecidos
51121920,"Outros tecidos de pelos finos, que contenham pelo menos 85 %, em peso, de pelos finos",13002,Tecidos
51122010,"Outros, combinados, principal ou unicamente, com filamentos sintéticos ou artificiais, de lã",13002,Tecidos
51122020,"Outros, combinados, principal ou unicamente, com filamentos sintéticos ou artificiais, de pelos finos",13002,Tecidos
51123010,"Outros, combinados, principal ou unicamente, com fibras sintéticas ou artificiais descontínuas, de lã",13002,Tecidos
51123020,"Outros, combinados, principal ou unicamente, com fibras sintéticas ou artificiais descontínuas, de pelos finos",13002,Tecidos
51129000,"Outros tecido de lã ou de pelos finos, penteados",13002,Tecidos
51130011,"Tecidos de pelos grosseiros, que contenham pelo menos 85 %, em peso, de pelos grosseiros",13002,Tecidos
51130012,"Tecidos de pelos grosseiros, que contenham menos de 85 %, em peso, de pelos grosseiros e que contenham algodão",13002,Tecidos
51130013,"Tecidos de pelos grosseiros, que contenham menos de 85 %, em peso, de pelos grosseiros e que não contenham algodão",13002,Tecidos
51130020,Tecidos de crina,13002,Tecidos
52010010,"Algodão não cardado nem penteado, não debulhado",01913,"Algodão herbáceo, outras fibras da lav. temporária"
52010020,"Algodão não cardado nem penteado, simplesmente debulhado",01913,"Algodão herbáceo, outras fibras da lav. temporária"
52010090,Outros tipos de algodão não cardado nem penteado,01913,"Algodão herbáceo, outras fibras da lav. temporária"
52021000,Desperdícios de fios de algodão,13001,Fios e fibras têxteis beneficiadas
52029100,Fiapos de algodão,13001,Fios e fibras têxteis beneficiadas
52029900,Outros desperdícios de algodão,13001,Fios e fibras têxteis beneficiadas
52030000,Algodão cardado ou penteado,13001,Fios e fibras têxteis beneficiadas
52041111,"Linhas para costurar, não acondicionadas para venda a retalho, que contenham pelo menos 85 %, em peso, de algodão, de algodão cru, de título inferior ou igual a 5.000 decitex por fio simples, de dois cabos",13001,Fios e fibras têxteis beneficiadas
52041112,"Linhas para costurar, não acondicionadas para venda a retalho, que contenham pelo menos 85 %, em peso, de algodão, de algodão cru, de título inferior ou igual a 5.000 decitex por fio simples, de três ou mais cabos",13001,Fios e fibras têxteis beneficiadas
52041120,"Linhas para costurar, não acondicionadas para venda a retalho, que contenham pelo menos 85 %, em peso, de algodão, de algodão cru, de título superior a 5.000 decitex por fio simples",13001,Fios e fibras têxteis beneficiadas
52041131,"Linhas para costurar, não acondicionadas para venda a retalho, que contenham pelo menos 85 %, em peso, de algodão, de algodão branqueado ou colorido, de título inferior ou igual a 5.000 decitex por fio simples, de dois cabos",13001,Fios e fibras têxteis beneficiadas
52041132,"Linhas para costurar, não acondicionadas para venda a retalho, que contenham pelo menos 85 %, em peso, de algodão, de algodão branqueado ou colorido, de título inferior ou igual a 5.000 decitex por fio simples, de três ou mais cabos",13001,Fios e fibras têxteis beneficiadas
52041140,"Linhas para costurar, não acondicionadas para venda a retalho, que contenham pelo menos 85 %, em peso, de algodão, de algodão branqueado ou colorido, de título superior a 5.000 decitex por fio simples",13001,Fios e fibras têxteis beneficiadas
52041911,"Outras linhas para costurar, de algodão cru, de título inferior ou igual a 5.000 decitex por fio simples, de dois cabos",13001,Fios e fibras têxteis beneficiadas
52041912,"Outras linhas para costurar, de algodão cru, de título superior a 5.000 decitex por fio simples, de três ou mais cabos",13001,Fios e fibras têxteis beneficiadas
52041920,"Outras linhas para costurar, de algodão cru, de título inferior ou igual a 5.000 decitex por fio simples",13001,Fios e fibras têxteis beneficiadas
52041931,"Linhas para costurar, de algodão, não acondicionadas para venda a retalho, de algodão branqueado ou colorido, de título inferior ou igual a 5.000 decitex por fio simples, de dois cabos",13001,Fios e fibras têxteis beneficiadas
