produto_interno_bruto_1,1199092_111000002,1315755_47899999,1488787_2559999959,1717950_4089999902,1957751_2169999941,2170584_5149999997,2409449_882999989,2720262_966000002,3109803_093000006,3333039_3110000165,3885847_0,4376382_0,4814760_0,5331619_0,5778953_0,5995787_0,6269328_0,6585479_0,7004141_0,7389131_0,7609597_0,9012142_0
   Famílias,28608.028000000002,30382.191000000006,34392.831,37852.265,44380.88799999999,50145.892,54669.831000000006,60780.69599999999,65928.421,75149.25900000002,85299.0,94667.0,101493.0,113286.0,120386.0,121732.0,133462.0,141075.0,148861.0,149031.0,125701.0,140721.0
   Instituições sem fins de lucro a serviço das famílias,11664.254,12908.463000000002,13380.164,14660.527000000004,16502.992000000002,20878.978,24004.869000000002,23669.827999999998,26382.132999999998,29574.978,32872.0,37053.0,41052.0,45335.0,47317.0,49485.0,50884.0,53176.0,56517.0,58973.0,58323.0,60309.0
Excedente operacional bruto e rendimento misto bruto,552241.1980000029,588708.9420000035,675601.962999999,791059.2239999968,888725.0019999914,965694.3499999923,1058893.6680000217,1192649.6070000138,1325386.9879999976,1391477.6070000066,1641762.0,1832261.0,1990402.0,2198001.0,2401241.0,2424832.0,2556522.0,2681553.0,2871210.0,3047933.0,3316203.0,4078389.0
   Empresas não financeiras,236670.10100000293,257529.43900000368,293065.15999999904,370991.860999997,451557.1999999916,485344.33699999255,547101.1600000215,610250.9080000145,695871.8519999979,721484.5240000063,875264.0,988496.0,1042432.0,1133417.0,1225675.0,1167108.0,1185397.0,1261938.0,1394568.0,1476990.0,1705357.0,2360074.0
   Empresas financeiras,29605.02199999998,36277.46800000002,55243.0,61300.67700000003,55521.845,72975.07800000002,81153.92899999999,96719.26199999999,92351.00899999999,103797.46399999999,128811.0,135073.0,143367.0,144935.0,181677.0,212596.0,259637.0,256737.0,246584.0,269191.0,260762.0,236553.0
   Governo geral,19642.99600000001,21583.002999999942,23794.00000000007,27901.005999999947,30971.006999999856,33768.99299999998,35716.00000000021,37616.99799999998,42218.00700000003,46150.00400000005,50659.0,56846.0,62937.0,70093.0,78079.0,87589.0,97958.0,103129.0,106712.0,115684.0,117673.0,141869.0
   Famílias (aluguel e rendimento misto bruto),263962.942,271297.70199999993,301489.582,328660.63999999984,348373.4969999999,371796.00999999983,392891.7670000002,445541.61399999924,492313.39999999973,517084.98900000035,584404.0,649167.0,738559.0,846241.0,912052.0,953644.0,1009359.0,1055485.0,1118889.0,1181143.0,1227671.0,1334533.0
   Instituições sem fins de lucro a serviço das famílias,2360.1370000000074,2021.3299999999458,2010.22100000002,2205.0400000000145,2301.452999999962,1809.9319999999707,2030.8119999998978,2520.8250000000476,2632.719999999992,2960.626000000003,2624.0,2679.0,3107.0,3315.0,3758.0,3895.0,4171.0,4264.0,4457.0,4925.0,4740.0,5360.0
Saldo das rendas primárias brutas (Renda nacional bruta) (2),1164560.0080000034,1273035.4030000037,1438841.3249999988,1663431.970999997,1899911.8509999912,2107840.453999992,2349156.296000022,2662481.9220000138,3033549.6029999973,3259287.6980000064,3765812.0,4263922.0,4694630.0,5257535.0,5671266.0,5882965.0,6136322.0,6462363.0,6809381.0,7190749.0,7450838.0,8730974.0
   Empresas não financeiras,119477.85800000292,143086.9190000037,170573.9109999991,245015.94999999704,280699.0259999916,305332.78699999256,358890.0120000215,418898.1020000145,457924.47999999794,456275.8630000063,506211.0,611760.0,640619.0,774053.0,848229.0,840594.0,797156.0,837388.0,842202.0,788196.0,1075480.0,1265355.0
