ref,fundam_legal,beneficio,item,codigo_ncm,descricao_ncm,descr_produto,proporcao_antes_tratamento,proporcao_apos_tratamento,diferenca
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01022919,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01022990,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01022990,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01022990,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01023110,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01023110,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01023110,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01023190,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01023190,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01023190,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01023911,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01023911,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01023911,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01023919,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01023919,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01023919,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01023990,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01023990,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01023990,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01029000,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - - Outros,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01029000,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01029000,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - - Outros,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01029011,"Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outs.Bovinos,P/Reprod.,Prenhe, C/Cria Ao Pe",-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01029011,"Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outs.Bovinos,P/Reprod.,Prenhe, C/Cria Ao Pe","Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01029011,"Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outs.Bovinos,P/Reprod.,Prenhe, C/Cria Ao Pe",Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01029019,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Bovinos Para Reproducao,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01029019,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Bovinos Para Reproducao,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01029019,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Bovinos Para Reproducao,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01029090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Animais Da Especie Bovina,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01029090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Animais Da Especie Bovina,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01029090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Animais Da Especie Bovina,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01031000,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - - Reprodutores de raça pura,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01031000,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - - Reprodutores de raça pura,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01031000,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - - Reprodutores de raça pura,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01039100,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - -- De peso inferior a 50 kg,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01039100,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - -- De peso inferior a 50 kg,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01039100,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - -- De peso inferior a 50 kg,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01039200,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - -- De peso igual ou superior a 50 kg,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01039200,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - -- De peso igual ou superior a 50 kg,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01039200,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - -- De peso igual ou superior a 50 kg,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01041011,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Prenhes ou com cria ao pé,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01041011,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Prenhes ou com cria ao pé,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01041011,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Prenhes ou com cria ao pé,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01041019,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01041019,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01041019,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01041090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,-,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01041090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01041090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,Animais vivos,0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01042010,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Reprodutores de raça pura,-,0,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01042010,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Reprodutores de raça pura,Animais vivos,0.5,0.5,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01042010,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Reprodutores de raça pura,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01042090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,-,0,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01042090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,Animais vivos,0.5,0.5,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01042090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,0.5,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01051110,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - De linhas puras ou híbridas, para reprodução",-,0,0,0
